,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.004849004745483399,0.0023480387407192266,0.001543426513671875,0.0011145915586268215,gini,3,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
1,0.002714204788208008,0.004029487170837902,0.0025024890899658205,0.004086031560376526,gini,3,4,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 4}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
2,0.000827169418334961,0.0016543388366699221,0.005689287185668945,0.007037184828710647,gini,3,6,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 6}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
3,0.0020524024963378905,0.0016824863108041428,0.0005481243133544922,0.0010962486267089844,gini,3,8,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 8}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
4,0.0024626731872558595,0.002020492966799915,0.00378570556640625,0.004490150762711495,gini,3,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 10}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
5,0.002673053741455078,0.002208589477881645,0.0038345813751220702,0.0035736106730589476,gini,5,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.7832167832167832,0.7832167832167832,0.795774647887324,0.8028169014084507,0.8098591549295775,0.7949768541317839,0.010584745902140941,12
6,0.007648849487304687,0.0075327632009890375,0.0,0.0,gini,5,4,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 4}",0.7832167832167832,0.7832167832167832,0.795774647887324,0.795774647887324,0.8098591549295775,0.7935684034275584,0.0098937929603291,14
7,0.007401847839355468,0.0075104234878655305,0.0008125782012939453,0.0011531770564377152,gini,5,6,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 6}",0.7832167832167832,0.7832167832167832,0.795774647887324,0.795774647887324,0.8098591549295775,0.7935684034275584,0.0098937929603291,14
8,0.0034628391265869142,0.0040398763694232225,0.001239442825317383,0.0016846885404269332,gini,5,8,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 8}",0.7832167832167832,0.7832167832167832,0.795774647887324,0.7676056338028169,0.8098591549295775,0.787934600610657,0.01414167540839352,23
9,0.003236722946166992,0.005947367206681849,0.00302271842956543,0.006045436859130859,gini,5,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10}",0.7832167832167832,0.7832167832167832,0.795774647887324,0.7676056338028169,0.8098591549295775,0.787934600610657,0.01414167540839352,23
10,0.00798659324645996,0.006999047705573356,0.00020165443420410155,0.0004033088684082031,gini,7,2,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 2}",0.7762237762237763,0.8041958041958042,0.7887323943661971,0.8028169014084507,0.7887323943661971,0.792140254112085,0.010352665065347785,19
11,0.006063079833984375,0.0071848901257806404,0.0,0.0,gini,7,4,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 4}",0.7762237762237763,0.7972027972027972,0.7746478873239436,0.8169014084507042,0.795774647887324,0.7921501034177091,0.015564508370106155,17
12,0.003127288818359375,0.004333036146574957,0.0033388137817382812,0.0066776275634765625,gini,7,6,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 6}",0.7692307692307693,0.7832167832167832,0.7676056338028169,0.8028169014084507,0.7887323943661971,0.7823204964050035,0.013037534448477465,33
13,0.006194972991943359,0.006835925031242431,0.0006068706512451172,0.0012137413024902342,gini,7,8,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 8}",0.7692307692307693,0.7692307692307693,0.7676056338028169,0.7746478873239436,0.8098591549295775,0.7781148429035752,0.016050035096325993,37
14,0.003148603439331055,0.00629720687866211,0.0035072803497314454,0.004302442456818366,gini,7,10,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 10}",0.7692307692307693,0.7972027972027972,0.7816901408450704,0.7887323943661971,0.8098591549295775,0.7893430513148822,0.013755943763699912,21
15,0.006316852569580078,0.007738199329909937,0.0,0.0,gini,9,2,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 2}",0.8111888111888111,0.7972027972027972,0.7887323943661971,0.8098591549295775,0.795774647887324,0.8005515611149413,0.008643011212654785,11
16,0.009377527236938476,0.007656947585515893,0.0,0.0,gini,9,4,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 4}",0.7552447552447552,0.7832167832167832,0.795774647887324,0.8028169014084507,0.7887323943661971,0.7851570964247021,0.016345622268401333,28
17,0.0033135414123535156,0.0027833836511246836,0.001542377471923828,0.0022042343525911856,gini,9,6,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 6}",0.7762237762237763,0.7832167832167832,0.7887323943661971,0.8028169014084507,0.795774647887324,0.7893529006205062,0.009305149406703486,20
